RWCID;CollID;PieceNo;CDNo;TrackNo;Title;Artist;SingerInformation;SingingLanguage;Tempo;Variation;LiveInstruments;DrumInformation;Composer;CompositionType;GenreMain;GenreSub;audio_start;audio_end;duration
RWC_G068;G;68;7;5;Grassy Dance;Shigekazu Kamaki;;;;;;;Shigekazu Kamaki;;World;Folk;0.0105;189.0126;191.9260090702948
RWC_G069;G;69;7;6;What Should I Tell Them?;Greg Irwin;Male;English;;;;;Kazuo Nishi;;World;Folk;0.0207;253.1381;256.77299319727894
RWC_G070;G;70;7;7;Bjc Fiddle Rag;Banjo Club;;;;;;;Satoshi Hara;;World;Country;0.0045;213.8151;217.6427664399093
RWC_G071;G;71;7;8;Desperate Little Man;Banjo Club;Male;English;;;;;Satoshi Hara;;World;Country;0.0062;216.5493;223.70589569161
RWC_G072;G;72;7;9;I Don't Love Nobody;Banjo Club;;;;;;;Satoshi Hara;;World;Country;0.0029;269.4872;272.43795918367346
RWC_G073;G;73;7;10;Not Enough Words;22 Project Band;Female;English;;;;;Bunmei Ogawa;;World;Gospel;0.0758;251.8531;257.80072562358276
RWC_G074;G;74;7;11;With My Jalopy;22 Project Band;Male;English;;;;;Kenji Nakamura;;World;Gospel;0.0229;262.0836;270.75804988662134
RWC_G075;G;75;7;12;My Faith;22 Project Band;;;;;;;Kenji Nakamura;;World;Gospel;0.0388;170.4898;173.48385487528344
RWC_G076;G;76;8;1;Havini Tishi Tishi;Fresh Jumbe;Male;;;;;;Fresh Jumbe;;World;African;0.0125;190.2306;195.37297052154196
RWC_G077;G;77;8;2;Kasheki;Fresh Jumbe;Male;;;;;;Fresh Jumbe;;World;African;0.5108;238.8816;242.56378684807257
RWC_G078;G;78;8;3;Mwanambuzi;Fresh Jumbe;Male;;;;;;Fresh Jumbe;;World;African;0.1408;260.6204;264.02816326530615
RWC_G079;G;79;8;4;Raga Charukesi - Alap;Shanti;;;;;;;(Improvisation);;World;Indian;0.3184;293.2082;296.0756462585034
RWC_G080;G;80;8;5;Raga Charukesi - Vilambit Teentaal;Shanti;;;;;;;(Improvisation);;World;Indian;0.2612;295.8796;297.1912925170068
RWC_G081;G;81;8;6;Raga Charukesi - Drut Teentaal;Shanti;;;;;;;(Improvisation);;World;Indian;0.2204;301.6408;302.90755102040816
RWC_G082;G;82;8;7;Sevillanas;David Lainfiesta;;;;;;;David Lainfiesta;;World;Flamenco;0.0125;186.6367;189.57698412698412
RWC_G083;G;83;8;8;Tangos;Miguel de Badajoz;Male;Spanish;;;;;Miguel de Badajoz;;World;Flamenco;0.0141;310.498;315.8609977324263
RWC_G084;G;84;8;9;Rumba;David Lainfiesta;;;;;;;David Lainfiesta;;World;Flamenco;0.0232;219.3633;223.1370068027211
RWC_G085;G;85;8;10;"Rue Saint-Vincent ""Rose Blanche""";Monden Momo;Female;French;;;;;Aristide Bruant;;Vocal;Chanson;0.0116;235.9844;240.3990929705215
RWC_G086;G;86;8;11;Le Temps Des Cerises;Monden Momo;Female;French;;;;;Antoine Renard;;Vocal;Chanson;0.02;228.4147;232.238231292517
RWC_G087;G;87;8;12;Je Te Veux;Monden Momo;Female;French;;;;;Erik Satie;;Vocal;Chanson;0.0065;215.0458;217.39936507936508
RWC_G088;G;88;8;13;Santa Lucia;Jun Aoki;Male;Italian;;;;;Cottrau;;Vocal;Canzone;0.013;203.0388;206.3478004535147
RWC_G089;G;89;8;14;O Sole Mio;Jun Aoki;Male;Italian;;;;;Edoardo Di Capua;;Vocal;Canzone;0.013;224.5362;228.04226757369617
RWC_G090;G;90;8;15;Turna A Surriento;Jun Aoki;Male;Italian;;;;;Ernesto De Curtis;;Vocal;Canzone;0.0145;275.2145;278.9826984126984
RWC_G091;G;91;9;1;Tairyo Bune;Kazuo Nishi;Male;Japanese;;;;;Hiroshi Takayama;;Traditional Japanese;Popular (Enka);0.016;264.6122;268.04600907029476
RWC_G092;G;92;9;2;Kita no Komoriuta;Kazuo Nishi;Male;Japanese;;;;;Kazuo Nishi;;Traditional Japanese;Popular (Enka);0.021;252.4183;253.8090022675737
RWC_G093;G;93;9;3;Ai Hitohira;Hiromi Yoshii;Female;Japanese;;;;;Kazuo Nishi;;Traditional Japanese;Popular (Enka);0.0232;250.9959;252.88
RWC_G094;G;94;9;4;Sado Okesa;Machi Watanabe;Female;Japanese;;;;;;;Traditional Japanese;Folk (Min'you);0.0243;183.2571;187.28698412698412
RWC_G095;G;95;9;5;Nambu Ushioiuta;Machi Watanabe;Female;Japanese;;;;;;;Traditional Japanese;Folk (Min'you);0.0259;197.805;200.98530612244895
RWC_G096;G;96;9;6;Soran Bushi;Machi Watanabe;Female;Japanese;;;;;;;Traditional Japanese;Folk (Min'you);0.0071;126.6791;129.8357142857143
RWC_G097;G;97;9;7;Hyojo Etenraku;Hougakudo;;;;;;;;;Traditional Japanese;Court (Gagaku);0.1429;263.9673;265.22156462585036
RWC_G098;G;98;9;8;Taishikicho Gakkaen;Hougakudo;;;;;;;;;Traditional Japanese;Court (Gagaku);0.2612;339.9401;341.6480045351474
RWC_G099;G;99;9;9;Taishikicho Chogeishi;Hougakudo;;;;;;;;;Traditional Japanese;Court (Gagaku);0.2857;246.9674;249.8770068027211
RWC_G100;G;100;9;10;Precious Love;Dik;Vocal group ( 2 male + 2 female);English;;;;;Kazuo Nishi;;A Cappella;A Cappella;1.1878;190.8592;196.0770068027211
